,Menu,Calories
193,Mocha (Without Whipped Cream)Grande Nonfat Milk,260
194,Mocha (Without Whipped Cream)Whole Milk,290
195,Mocha (Without Whipped Cream)Soymilk,260
196,Mocha (Without Whipped Cream)Venti Nonfat Milk,340
197,Mocha (Without Whipped Cream)Whole Milk,390
198,Mocha (Without Whipped Cream)Soymilk,350
199,Caramel (Without Whipped Cream)Tall Nonfat Milk,180
200,Caramel (Without Whipped Cream)Whole Milk,200
201,Caramel (Without Whipped Cream)Soymilk,180
202,Caramel (Without Whipped Cream)Grande Nonfat Milk,280
203,Caramel (Without Whipped Cream)Whole Milk,280
204,Caramel (Without Whipped Cream)Soymilk,260
205,Caramel (Without Whipped Cream)Venti Nonfat Milk,330
206,Caramel (Without Whipped Cream)Whole Milk,370
207,Caramel (Without Whipped Cream)Soymilk,340
208,Java Chip (Without Whipped Cream)Tall Nonfat Milk,220
209,Java Chip (Without Whipped Cream)Whole Milk,240
210,Java Chip (Without Whipped Cream)Soymilk,220
211,Java Chip (Without Whipped Cream)Grande Nonfat Milk,310
212,Java Chip (Without Whipped Cream)Whole Milk,340
213,Java Chip (Without Whipped Cream)Soymilk,310
214,Java Chip (Without Whipped Cream)Venti Nonfat Milk,420
215,Java Chip (Without Whipped Cream)Whole Milk,460
216,Java Chip (Without Whipped Cream)Soymilk,430
217,CoffeeTall Nonfat Milk,90
218,CoffeeGrande Nonfat Milk,120
219,CoffeeVenti Nonfat Milk,160
220,MochaTall Nonfat Milk,110
221,MochaGrande Nonfat Milk,150
222,MochaVenti Nonfat Milk,210
223,CaramelTall Nonfat Milk,100
224,CaramelGrande Nonfat Milk,150
225,CaramelVenti Nonfat Milk,200
226,Java ChipTall Nonfat Milk,150
227,Java ChipGrande Nonfat Milk,220
228,Java ChipVenti Nonfat Milk,290
229,Strawberries & Crème (Without Whipped Cream)Tall Nonfat Milk,170
230,Strawberries & Crème (Without Whipped Cream)Whole Milk,190
231,Strawberries & Crème (Without Whipped Cream)Soymilk,170
232,Strawberries & Crème (Without Whipped Cream)Grande Nonfat Milk,230
233,Strawberries & Crème (Without Whipped Cream)Whole Milk,260
234,Strawberries & Crème (Without Whipped Cream)Soymilk,240
235,Strawberries & Crème (Without Whipped Cream)Venti Nonfat Milk,310
236,Strawberries & Crème (Without Whipped Cream)Whole Milk,350
237,Strawberries & Crème (Without Whipped Cream)Soymilk,320
238,Vanilla Bean (Without Whipped Cream)Tall Nonfat Milk,170
239,Vanilla Bean (Without Whipped Cream)Whole Milk,200
240,Vanilla Bean (Without Whipped Cream)Soymilk,180
241,Vanilla Bean (Without Whipped Cream)Grande Nonfat Milk,240
0,Chonga Bagel,300
1,8-Grain Roll,380
2,Almond Croissant,410
3,Apple Fritter,460
4,Banana Nut Bread,420
5,Blueberry Muffin with Yogurt and Honey,380
6,Blueberry Scone,420
7,Butter Croissant,240
8,Butterfly Cookie,350
9,Cheese Danish,320
10,Chewy Chocolate Cookie,170
11,Chocolate Chip Cookie,310
12,Chocolate Chunk Muffin,440
13,Chocolate Croissant,330
14,Chocolate Hazelnut Croissant,390
15,Chocolate Marble Loaf Cake,490
16,Cinnamon Morning Bun,390
17,Cinnamon Raisin Bagel,270
18,Classic Coffee Cake,390
19,Cookie Butter Bar,360
20,Cranberry Orange Scone,420
21,Devil's Food Doughnut,430
22,Double Chocolate Brownie,410
23,Double Chocolate Chunk Brownie,490
